-2.4018e-07,-0.00758708
-2.4016e-07,-0.00837142
-2.4014e-07,-0.00902297
-2.4012e-07,-0.00953866
-2.401e-07,-0.0100543
-2.4008e-07,-0.0107368
-2.4006e-07,-0.0116539
-2.4004e-07,-0.0126698
-2.4002e-07,-0.013519
-2.4e-07,-0.0140224
-2.3998e-07,-0.0142076
-2.3996e-07,-0.0142478
-2.3994e-07,-0.0142725
-2.3992e-07,-0.0142107
-2.399e-07,-0.0138587
-2.3988e-07,-0.0130682
-2.3986e-07,-0.0118917
-2.3984e-07,-0.0105731
-2.3982e-07,-0.00935647
-2.398e-07,-0.00834363
-2.3978e-07,-0.0074543
-2.3976e-07,-0.00656188
-2.3974e-07,-0.00560771
-2.3972e-07,-0.00463192
-2.397e-07,-0.00369009
-2.3968e-07,-0.00275445
-2.3966e-07,-0.0017169
-2.3964e-07,-0.000481719
-2.3962e-07,0.000963439
-2.396e-07,0.00252903
-2.3958e-07,0.00412858
-2.3956e-07,0.00571579
-2.3954e-07,0.00730608
-2.3952e-07,0.00886858
-2.395e-07,0.0103045
-2.3948e-07,0.0114841
-2.3946e-07,0.012358
-2.3944e-07,0.012991
-2.3942e-07,0.0134912
-2.394e-07,0.0139019
-2.3938e-07,0.0141737
-2.3936e-07,0.0142632
-2.3934e-07,0.0142292
-2.3932e-07,0.0142385
-2.393e-07,0.0144361
-2.3928e-07,0.0148376
-2.3926e-07,0.01531
-2.3924e-07,0.0156775
-2.3922e-07,0.0158103
-2.392e-07,0.0156682
-2.3918e-07,0.0152544
-2.3916e-07,0.0145689
-2.3914e-07,0.0136364
-2.3912e-07,0.0125154
-2.391e-07,0.0112833
-2.3908e-07,0.00999876
-2.3906e-07,0.0086308
-2.3904e-07,0.00708992
-2.3902e-07,0.00532053
-2.39e-07,0.00339983
-2.3898e-07,0.00149148
-2.3896e-07,-0.000259387
-2.3894e-07,-0.00183115
-2.3892e-07,-0.00333189
-2.389e-07,-0.00487278
-2.3888e-07,-0.0064816
-2.3886e-07,-0.00811821
-2.3884e-07,-0.00971467
-2.3882e-07,-0.0112339
-2.388e-07,-0.0126266
-2.3878e-07,-0.0138278
-2.3876e-07,-0.014782
-2.3874e-07,-0.015449
-2.3872e-07,-0.0158412
-2.387e-07,-0.0159801
-2.3868e-07,-0.0158937
-2.3866e-07,-0.0156374
-2.3864e-07,-0.0153039
-2.3862e-07,-0.0149858
-2.386e-07,-0.0147048
-2.3858e-07,-0.0143867
-2.3856e-07,-0.0139235
-2.3854e-07,-0.0132874
-2.3852e-07,-0.0125679
-2.385e-07,-0.0119102
-2.3848e-07,-0.0113173
-2.3846e-07,-0.0105824
-2.3844e-07,-0.00940279
-2.3842e-07,-0.00768898
-2.384e-07,-0.00569417
-2.3838e-07,-0.00381052
-2.3836e-07,-0.00221097
-2.3834e-07,-0.000713315
-2.3832e-07,0.00100049
-2.383e-07,0.00296443
-2.3828e-07,0.00487895
-2.3826e-07,0.00644145
-2.3824e-07,0.00766428
-2.3822e-07,0.00883461
-2.382e-07,0.0101346
-2.3818e-07,0.0114223
-2.3816e-07,0.012429
-2.3814e-07,0.013062
-2.3812e-07,0.013482
-2.381e-07,0.013871
-2.3808e-07,0.0141768
-2.3806e-07,0.0142015
-2.3804e-07,0.0138772
-2.3802e-07,0.0133832
-2.38e-07,0.0129694
-2.3798e-07,0.0127223
-2.3796e-07,0.0125216
-2.3794e-07,0.0122159
-2.3792e-07,0.0118114
-2.379e-07,0.0114377
-2.3788e-07,0.011166
-2.3786e-07,0.0108727
-2.3784e-07,0.0103199
-2.3782e-07,0.00935647
-2.378e-07,0.00808733
-2.3778e-07,0.00678421
-2.3776e-07,0.00566638
-2.3774e-07,0.00473691
-2.3772e-07,0.00385067
-2.377e-07,0.00290576
-2.3768e-07,0.00194232
-2.3766e-07,0.00103446
-2.3764e-07,0.00013587
-2.3762e-07,-0.000926383
-2.376e-07,-0.00231287
-2.3758e-07,-0.0040205
-2.3756e-07,-0.00591959
-2.3754e-07,-0.0078372
-2.3752e-07,-0.00969306
-2.375e-07,-0.011413
-2.3748e-07,-0.0129261
-2.3746e-07,-0.0141613
-2.3744e-07,-0.0151186
-2.3742e-07,-0.0158906
-2.374e-07,-0.016573
-2.3738e-07,-0.0171844
-2.3736e-07,-0.0176754
-2.3734e-07,-0.0180089
-2.3732e-07,-0.0181973
-2.373e-07,-0.0182806
-2.3728e-07,-0.0182467
-2.3726e-07,-0.0179996
-2.3724e-07,-0.0174191
-2.3722e-07,-0.0164773
-2.372e-07,-0.0152606
-2.3718e-07,-0.0139421
-2.3716e-07,-0.0126575
-2.3714e-07,-0.0114161
-2.3712e-07,-0.0101254
-2.371e-07,-0.00866786
-2.3708e-07,-0.00701272
-2.3706e-07,-0.00519701
-2.3704e-07,-0.00329792
-2.3702e-07,-0.00136178
-2.37e-07,0.00057127
-2.3698e-07,0.002458
-2.3696e-07,0.00423666
-2.3694e-07,0.00585783
-2.3692e-07,0.00725976
-2.369e-07,0.00839612
-2.3688e-07,0.00923604
-2.3686e-07,0.00980114
-2.3684e-07,0.0101439
-2.3682e-07,0.0102829
-2.368e-07,0.0101717
-2.3678e-07,0.00974246
-2.3676e-07,0.00899209
-2.3674e-07,0.00802248
-2.3672e-07,0.00700037
-2.367e-07,0.00602149
-2.3668e-07,0.00508893
-2.3666e-07,0.00422431
-2.3664e-07,0.00352952
-2.3662e-07,0.00313426
-2.366e-07,0.00306015
-2.3658e-07,0.00314353
-2.3656e-07,0.00313118
-2.3654e-07,0.00285326
-2.3652e-07,0.00229434
-2.365e-07,0.00149765
-2.3648e-07,0.00046628
